name,fb_name,ig_name,active,generation
Aom,bnk48official.aom,aom.bnk48official,1,2
Bamboo,bnk48official.bamboo,bamboo.bnk48office,1,2
Cake,bnk48official.cake,cake.bnk48official,1,2
Can,bnk48official.can,can.bnk48official,0,1
Cherprang,bnk48official.cherprang,cherprang.bnk48official,1,1
Deenee,bnk48official.deenee,deenee.bnk48official,1,2
Faii,bnk48official.faii,faii.bnk48official,1,2
Fifa,bnk48official.fifa,fifa.bnk48official,1,2
Fond,bnk48official.fond,fond.bnk48office,1,2
Gygee,bnk48official.gygee,gygee.bnk48official,1,2
Rina,bnk48official.izutarina,rinaizuta.bnk48official,1,1
Jaa,bnk48official.jaa,jaa.bnk48official,1,1
Jan,bnk48official.jan,janchan.xoxo,0,1
Jane,bnk48official.jane,jane.bnk48official,1,1
Jennis,bnk48official.jennis,jennis.bnk48official,1,1
Jib,bnk48official.jib,jib.bnk48office,1,1
June,bnk48official.june,june.bnk48office,1,2
Kaew,bnk48official.kaew,kaew.bnk48official,1,1
Kaimook,bnk48official.kaimook,kaimook.bnk48official,1,1
Kate,bnk48official.kate,kate.bnk48official,1,1
Khamin,bnk48official.khamin,khamin.bnk48official,1,2
Kheng,bnk48official.kheng,kheng.bnk48official,1,2
Korn,bnk48official.korn,korn.bnk48official,1,1
Maira,bnk48official.maira,maira.bnk48official,1,2
Maysa,bnk48official.maysa,maysa.bnk48official,1,1
Mewnich,bnk48official.mewnich,mewnich.bnk48official,1,2
Mind,bnk48official.mind,mind.bnk48official,1,1
Minmin,bnk48official.minmin,minmin.bnk48office,1,2
Miori,bnk48official.miori,miori.bnk48official,1,1
Mobile,bnk48official.mobile,mobile.bnk48official,1,1
Music,bnk48official.music,music.bnk48official,1,1
Myyu,bnk48official.myyu,myyu.bnk48official,1,2
Namneung,bnk48official.namneung,namneung.bnk48official,1,1
Namsai,bnk48official.namsai,namsai.bnk48official,1,1
Natherine,bnk48official.natherine,natherine.bnk48official,1,2
New,bnk48official.new,new.bnk48official,1,2
Niky,bnk48official.niky,niky.bnk48office,1,2
Nine,bnk48official.nine,nine.bnk48official,1,2
Nink,bnk48official.nink,nink.bnk48official,1,1
Noey,bnk48official.noey,noey.bnk48office,1,1
Oom,bnk48official.oom,oom.bnk48official,1,2
Orn,bnk48official.orn,orn.bnk48official,1,1
Panda,bnk48official.panda,panda.bnk48official,1,2
Pakwan,pakwan.bnk48official,pakwan.bnk48office,1,2
Phukkhom,bnk48official.phukkhom,phukkhom.bnk48office,1,2
Piam,bnk48official.piam,piam.bnk48office,1,1
Pun,bnk48official.pun,pun.bnk48official,1,1
Pupe,bnk48official.pupe,pupe.bnk48official,1,1
Ratah,bnk48official.ratah,ratah.bnk48official,1,2
Satchan,bnk48official.satchan,satchan.bnk48official,1,1
Stang,bnk48official.stang,stang.bnk48office,1,2
Tarwaan,bnk48official.tarwaan,tarwaan.bnk48office,1,1
View,bnk48official.view,view.bnk48official,1,2
Wee,bnk48official.wee,wee.bnk48official,1,2
